"School","Region"
"Hinds Community College","Region 23"
"Hocking College","Region 12"
"Holmes Community College","Region 23"
"Holyoke Community College","Region 21"
"Hostos Community College","Region 15"
"Howard College ","Region 5"
"Howard Community College","Region 20"
"Hudson Valley Community College","Region 3"
"Hutchinson Community College","Region 6"
"Illinois Central College","Region 24"
"Illinois Valley Community College","Region 4"
"Independence Community College","Region 6"
"Indian Hills Community College","Region 11"
"Indian River State College","Region 8"
"Iowa Central Community College","Region 11"
"Iowa Lakes Community College","Region 11"
"Iowa Western Community College","Region 11"
"Itasca Community College","Region 13"
"Itawamba Community College","Region 23"
"Jackson College","Region 12"
"Jackson State Community College","Region 7"
"Jacksonville College","Region 14"
"Jamestown Community College","Region 3"
"Jefferson College","Region 16"
"Jefferson Community College","Region 3"
"Jefferson Davis Community College","Region 22"
"Jefferson State Community College ","Region 22"
"John A. Logan College","Region 24"
"John Wood Community College","Region 24"
"Johnson College","Region 19"
"Johnson County Community College","Region 6"
"Johnston Community College","Region 10"
"Joliet Junior College","Region 4"
"Jones County Junior College","Region 23"
"Kalamazoo Valley Community College","Region 12"
"Kankakee Community College","Region 4"
"Kansas City Kansas Community College","Region 6"
"Kaskaskia College","Region 24"
"Kellogg Community College","Region 12"
"Kennedy-King College","Region 4"
"Kilgore College","Region 14"
"Kingsborough Community College","Region 15"
"Kirkwood Community College","Region 11"
"Kirtland Community College","Region 12"
"Kishwaukee College","Region 4"
"Labette Community College","Region 6"
"Lackawanna College","Region 19"
"LaGuardia Community College","Region 15"
"Lake Land College ","Region 24"
"Lake Michigan College","Region 12"
"Lake Region State College - ND","Region 13"
"Lake Superior College","Region 13"
"Lake-Sumter State College","Region 8"
"Lakeland Community College ","Region 12"
"Lamar Community College","Region 9"
"Lamar State College - Port Arthur","Region 14"
"Lansing Community College","Region 12"
"Laramie County Community College","Region 9"
"Laredo Community College","Region 14"
"Lawson State Community College","Region 22"
"Lee College","Region 14"
"Lehigh Carbon Community College","Region 19"
"Lenoir Community College","Region 10"
"Lewis & Clark Community College","Region 24"
"Lincoln College","Region 24"
"Lincoln Land Community College","Region 24"
"Lincoln Trail College","Region 24"
"Little Big Horn College","Region 9"
"Little Priest Tribal College","Region 11"
"Lorain County Community College","Region 12"
"Louisburg College","Region 10"
"Louisiana State University Eunice","Region 23"
"Luna Community College","Region 5"
"Lurleen B. Wallace Community College","Region 22"
"Luzerne County Community College","Region 19"
"Macomb Community College","Region 12"
"Madison College","Region 4"
"Malcolm X College","Region 4"
"Manor College","Region 19"
"Marion Military Institute","Region 22"
"Marshalltown Community College","Region 11"
"Massasoit Community College","Region 21"
"MassBay Community College","Region 21"
"MCC-Blue River","Region 16"
"MCC-Longview","Region 16"
"MCC-Maple Woods","Region 16"
"MCC-Penn Valley","Region 16"
"McCook Community College ","Region 9"
"McHenry County College","Region 4"
"McLennan Community College","Region 5"
"Mercer County Community College","Region 19"
"Mercyhurst North East","Region 3"
"Meridian Community College","Region 23"
"Mesa Community College","Region 1"
"Mesabi Range College","Region 13"
"Miami Dade College","Region 8"
"Mid Michigan Community College","Region 12"
"Middlesex County College","Region 19"
"Midland College","Region 5"
"Miles Community College","Region 9"
"Milwaukee Area Technical College","Region 4"
"Mineral Area College","Region 16"
"Minnesota State Community & Technical College","Region 13"
"Minnesota West Community & Technical College","Region 13"
"Mississippi Delta Community College","Region 23"
"Mississippi Gulf Coast Community College","Region 23"
"Missouri State University - West Plains","Region 16"
"Moberly Area Community College","Region 16"
"Mohawk Valley Community College","Region 3"
"Monroe College","Region 15"
"Monroe Community College","Region 3"
