"School","Conference","Division"
"New Mexico Highlands University","Rocky Mountain Athletic Conference","II"
"New Mexico State University","Western Athletic Conference","I-FBS"
"New York Institute of Technology","East Coast Conference","II"
"New York University","University Athletic Association","III"
"Newberry College","South Atlantic Conference","II"
"Newbury College","New England Collegiate Conference","III"
"Newman University","Heartland Conference","II"
"Niagara University","Metro Atlantic Athletic Conference","I"
"Nicholls State University","Southland Conference","I-FCS"
"Nichols College","Commonwealth Coast Conference","III"
"Norfolk State University","Mid-Eastern Athletic Conf.","I-FCS"
"North Carolina A&T State University","Mid-Eastern Athletic Conf.","I-FCS"
"North Carolina Central University","Mid-Eastern Athletic Conf.","I-FCS"
"North Carolina State University","Atlantic Coast Conference","I-FBS"
"North Carolina Wesleyan College","USA South Athletic Conference","III"
"North Central College","College Conference of Illinois & Wisconsin","III"
"North Central University","Upper Midwest Athletic Conference","III"
"North Dakota State University","The Summit League","I-FCS"
"North Greenville University","Conference Carolinas","II"
"North Park University","College Conference of Illinois & Wisconsin","III"
"Northeastern State University","Mid-America Intercollegiate Athletics Association","II"
"Northeastern University","Colonial Athletic Association","I"
"Northern Arizona University","Big Sky Conference","I-FCS"
"Northern Illinois University","Mid-American Conference","I-FBS"
"Northern Kentucky University","Horizon League","I"
"Northern Michigan University","Great Lakes Intercollegiate Athletic Conference","II"
"Northern State University","Northern Sun Intercollegiate Conference","II"
"Northland College","Upper Midwest Athletic Conference","III"
"Northwest Missouri State University","Mid-America Intercollegiate Athletics Association","II"
"Northwest Nazarene University","Great Northwest Athletic Conference","II"
"Northwestern Oklahoma State University","Great American Conference","II"
"Northwestern State University","Southland Conference","I-FCS"
"Northwestern University","Big Ten Conference","I-FBS"
"Northwood University","Great Lakes Intercollegiate Athletic Conference","II"
"Norwich University","Great Northeast Athletic Conference","III"
"Notre Dame College (Ohio)","Mountain East Conference","II"
"Notre Dame de Namur University","Pacific West Conference","II"
"Notre Dame of Maryland University","Colonial States Athletic Conference","III"
"Nova Southeastern University","Sunshine State Conference","II"
"Nyack College","Central Atlantic Collegiate Conference","II"
"Oakland City University","Independent","II"
"Oakland University","Horizon League","I"
"Oberlin College","North Coast Athletic Conference","III"
"Occidental College","Southern California Intercollegiate Athletic Conf.","III"
"Oglethorpe University","Southern Athletic Association","III"
"Ohio Dominican University","Great Lakes Intercollegiate Athletic Conference","II"
"Ohio Northern University","Ohio Athletic Conference","III"
"Ohio University","Mid-American Conference","I-FBS"
"Ohio Valley University","Great Midwest Athletic Conference","II"
"Ohio Wesleyan University","North Coast Athletic Conference","III"
"Oklahoma Baptist University","Great American Conference","II"
"Oklahoma Christian University","Heartland Conference","II"
"Oklahoma Panhandle State University","Heartland Conference","II"
"Oklahoma State University","Big 12 Conference","I-FBS"
"Old Dominion University","Conference USA","I-FBS"
"Olivet College","Michigan Intercol. Ath. Assn.","III"
"Oral Roberts University","The Summit League","I"
"Oregon State University","Pac-12 Conference","I-FBS"
"Otterbein University","Ohio Athletic Conference","III"
"Ouachita Baptist University","Great American Conference","II"
"Pace University","Northeast-10 Conference","II"
"Pacific Lutheran University","Northwest Conference","III"
"Pacific University (Oregon)","Northwest Conference","III"
"Paine College","Southern Intercol. Ath. Conf.","II"
"Palm Beach Atlantic University","Independent","II"
"Penn State Berks College","North Eastern Athletic Conference","III"
"Penn State Harrisburg","Capital Athletic Conference Inc.","III"
"Penn State University, Abington","North Eastern Athletic Conference","III"
"Penn State University, Altoona","Allegheny Mountain Collegiate Conference","III"
"Pennsylvania College of Technology","North Eastern Athletic Conference","III"
"Pennsylvania State Univ. Erie, the Behrend College","Allegheny Mountain Collegiate Conference","III"
"Pennsylvania State University","Big Ten Conference","I-FBS"
"Pepperdine University","West Coast Conference","I"
"Pfeiffer University","Conference Carolinas","II"
"Philadelphia University","Central Atlantic Collegiate Conference","II"
"Piedmont College","USA South Athletic Conference","III"
"Pine Manor College","Eastern College Athletic Conference","III"
"Pittsburg State University","Mid-America Intercollegiate Athletics Association","II"
"Plattsburgh State University of New York","State University of New York Athletic Conference","III"
"Plymouth State University","Little East Conference","III"
"Point Loma Nazarene University","Pacific West Conference","II"
"Pomona-Pitzer Colleges","Southern California Intercollegiate Athletic Conf.","III"
"Portland State University","Big Sky Conference","I-FCS"
"Post University","Central Atlantic Collegiate Conference","II"
"Prairie View A&M University","Southwestern Athletic Conf.","I-FCS"
"Presbyterian College","Big South Conference","I-FCS"
"Princeton University","The Ivy League","I-FCS"
"Principia College","St. Louis Intercollegiate Athletic Conference","III"
"Providence College","Big East Conference","I"
"Purchase College, State University of New York","Skyline Conference","III"
"Purdue University","Big Ten Conference","I-FBS"
"Purdue University Northwest","Great Lakes Intercollegiate Athletic Conference","II"
"Queens College (New York)","East Coast Conference","II"
"Queens University of Charlotte","South Atlantic Conference","II"
"Quincy University","Great Lakes Valley Conference","II"
"Quinnipiac University","Metro Atlantic Athletic Conference","I"
"Radford University","Big South Conference","I"
"Ramapo College","New Jersey Athletic Conference","III"
"Randolph College","Old Dominion Athletic Conf.","III"
"Randolph-Macon College","Old Dominion Athletic Conf.","III"
"Regis College (Massachusetts)","New England Collegiate Conference","III"
"Regis University (Colorado)","Rocky Mountain Athletic Conference","II"
"Rensselaer Polytechnic Institute","Liberty League","III"
"Rhode Island College","Little East Conference","III"
"Rhodes College","Southern Athletic Association","III"
"Rice University","Conference USA","I-FBS"
"Rider University","Metro Atlantic Athletic Conference","I"
"Ripon College","Midwest Conference","III"
"Rivier University","Great Northeast Athletic Conference","III"
"Roanoke College","Old Dominion Athletic Conf.","III"
"Robert Morris University","Northeast Conference","I-FCS"
"Roberts Wesleyan College","East Coast Conference","II"
"Rochester Institute of Technology","Liberty League","III"
"Rockford University","Northern Athletics Collegiate Conference","III"
"Rockhurst University","Great Lakes Valley Conference","II"
"Roger Williams University","Commonwealth Coast Conference","III"
"Rogers State University","Heartland Conference","II"
"Rollins College","Sunshine State Conference","II"
"Rose-Hulman Institute of Technology","Heartland Collegiate Athletic Conference","III"
"Rosemont College","Colonial States Athletic Conference","III"
"Rowan University","New Jersey Athletic Conference","III"
"Rust College","Independent","III"
"Rutgers, The State Univ. of New Jersey, Camden","New Jersey Athletic Conference","III"
"Rutgers, The State Univ. of New Jersey, Newark","New Jersey Athletic Conference","III"
"Rutgers, The State University of New Jersey, New Brunswick","Big Ten Conference","I-FBS"
"Sacred Heart University","Northeast Conference","I-FCS"
"Saginaw Valley State University","Great Lakes Intercollegiate Athletic Conference","II"
"Saint Anselm College","Northeast-10 Conference","II"
"Saint Augustine's University","Central Intercollegiate Athletic Association","II"
"Saint Francis University (Pennsylvania)","Northeast Conference","I-FCS"
"Saint Joseph's College (Indiana)","Great Lakes Valley Conference","II"
"Saint Joseph's College (Maine)","Great Northeast Athletic Conference","III"
"Saint Joseph's University","Atlantic 10 Conference","I"
"Saint Leo University","Sunshine State Conference","II"
"Saint Louis University","Atlantic 10 Conference","I"
"Saint Martin's University","Great Northwest Athletic Conference","II"
"Saint Mary's College (Indiana)","Michigan Intercol. Ath. Assn.","III"
"Saint Mary's College of California","West Coast Conference","I"
"Saint Mary's University of Minnesota","Minnesota Intercollegiate Athletic Conference","III"
"Saint Michael's College","Northeast-10 Conference","II"
"Saint Peter's University","Metro Atlantic Athletic Conference","I"
"Saint Vincent College","Presidents' Athletic Conference","III"
"Salem International University","Independent","II"
"Salem State University","Massachusetts State Collegiate Athletic Conference","III"
"Salisbury University","Capital Athletic Conference Inc.","III"
"Salve Regina University","Commonwealth Coast Conference","III"
"Sam Houston State University","Southland Conference","I-FCS"
"Samford University","Southern Conference","I-FCS"
"San Diego State University","Mountain West Conference","I-FBS"
"San Francisco State University","California Collegiate Athletic Association","II"
"San Jose State University","Mountain West Conference","I-FBS"
"Santa Clara University","West Coast Conference","I"
"Sarah Lawrence College","Skyline Conference","III"
"Savannah State University","Mid-Eastern Athletic Conf.","I-FCS"
"Schreiner University","Southern Collegiate Athletic Conference","III"
"Seattle Pacific University","Great Northwest Athletic Conference","II"
"Seattle University","Western Athletic Conference","I"
"Seton Hall University","Big East Conference","I"
"Seton Hill University","Pennsylvania State Athletic Conference","II"
"Shaw University","Central Intercollegiate Athletic Association","II"
"Shenandoah University","Old Dominion Athletic Conf.","III"
"Shepherd University","Mountain East Conference","II"
"Shippensburg University of Pennsylvania","Pennsylvania State Athletic Conference","II"
"Shorter University","Gulf South Conference","II"
"Siena College","Metro Atlantic Athletic Conference","I"
"Simmons College","Great Northeast Athletic Conference","III"
"Simon Fraser University","Great Northwest Athletic Conference","II"
"Simpson College","Iowa Intercol. Athletic Conf.","III"
"Skidmore College","Liberty League","III"
"Slippery Rock University of Pennsylvania","Pennsylvania State Athletic Conference","II"
"Smith College","New England Women's and Men's Athletic Conference","III"
"Sonoma State University","California Collegiate Athletic Association","II"
"South Carolina State University","Mid-Eastern Athletic Conf.","I-FCS"
"South Dakota School of Mines & Technology","Rocky Mountain Athletic Conference","II"
"South Dakota State University","The Summit League","I-FCS"
"Southeast Missouri State University","Ohio Valley Conference","I-FCS"
"Southeastern Louisiana University","Southland Conference","I-FCS"
"Southeastern Oklahoma State University","Great American Conference","II"
"Southern Arkansas University","Great American Conference","II"
"Southern Connecticut State University","Northeast-10 Conference","II"
"Southern Illinois University at Carbondale","Missouri Valley Conference","I-FCS"
"Southern Illinois University Edwardsville","Ohio Valley Conference","I"
"Southern Methodist University","American Athletic Conference","I-FBS"
"Southern Nazarene University","Great American Conference","II"
"Southern New Hampshire University","Northeast-10 Conference","II"
"Southern University, Baton Rouge","Southwestern Athletic Conf.","I-FCS"
"Southern Utah University","Big Sky Conference","I-FCS"
"Southern Vermont College","New England Collegiate Conference","III"
"Southern Virginia University","Capital Athletic Conference Inc.","III"
"Southern Wesleyan University","Conference Carolinas","II"
"Southwest Baptist University","Mid-America Intercollegiate Athletics Association","II"
"Southwest Minnesota State University","Northern Sun Intercollegiate Conference","II"
"Southwestern Oklahoma State University","Great American Conference","II"
"Southwestern University (Texas)","Southern Collegiate Athletic Conference","III"
"Spalding University","St. Louis Intercollegiate Athletic Conference","III"
"Spring Hill College","Southern Intercol. Ath. Conf.","II"
"Springfield College","New England Women's and Men's Athletic Conference","III"
"St. Bonaventure University","Atlantic 10 Conference","I"
"St. Catherine University","Minnesota Intercollegiate Athletic Conference","III"
"St. Cloud State University","Northern Sun Intercollegiate Conference","II"
"St. Edward's University","Heartland Conference","II"
"St. Francis College Brooklyn","Northeast Conference","I"
"St. John Fisher College","Empire 8","III"
"St. John's University (Minnesota)","Minnesota Intercollegiate Athletic Conference","III"
"St. John's University (New York)","Big East Conference","I"
"St. Joseph's College (Brooklyn)","Skyline Conference","III"
"St. Joseph's College (Long Island)","Skyline Conference","III"
"St. Lawrence University","Liberty League","III"
"St. Mary's College of Maryland","Capital Athletic Conference Inc.","III"
"St. Mary's University (Texas)","Heartland Conference","II"
"St. Norbert College","Midwest Conference","III"
"St. Olaf College","Minnesota Intercollegiate Athletic Conference","III"
"St. Thomas Aquinas College","East Coast Conference","II"
"Stanford University","Pac-12 Conference","I-FBS"
"State University College at Old Westbury","Skyline Conference","III"
"State University of New York at Canton","Independent","III"
"State University of New York at Cobleskill","North Eastern Athletic Conference","III"
"State University of New York at Cortland","State University of New York Athletic Conference","III"
"State University of New York at Geneseo","State University of New York Athletic Conference","III"
"State University of New York at New Paltz","State University of New York Athletic Conference","III"
"State University of New York at Oneonta","State University of New York Athletic Conference","III"
"State University of New York at Oswego","State University of New York Athletic Conference","III"
"State University of New York at Potsdam","State University of New York Athletic Conference","III"
"State University of New York Maritime College","Skyline Conference","III"
"State University of New York Polytechnic Institute","North Eastern Athletic Conference","III"
"Stephen F. Austin State University","Southland Conference","I-FCS"
"Stetson University","ASUN Conference","I-FCS"
"Stevens Institute of Technology","Empire 8","III"
"Stevenson University","Middle Atlantic Conferences","III"
"Stockton University","New Jersey Athletic Conference","III"
"Stonehill College","Northeast-10 Conference","II"
"Stony Brook University","America East Conference","I-FCS"
"Suffolk University","Great Northeast Athletic Conference","III"
"Sul Ross State University","American Southwest Conference","III"
"Susquehanna University","Landmark Conference","III"
"Swarthmore College","Centennial Conference","III"
"Sweet Briar College","Old Dominion Athletic Conf.","III"
"Syracuse University","Atlantic Coast Conference","I-FBS"
"Tarleton State University","Lone Star Conference","II"
"Temple University","American Athletic Conference","I-FBS"
"Tennessee State University","Ohio Valley Conference","I-FCS"
"Tennessee Technological University","Ohio Valley Conference","I-FCS"
"Texas A&M International University","Heartland Conference","II"
"Texas A&M University-Commerce","Lone Star Conference","II"
"Texas A&M University-Corpus Christi","Southland Conference","I"
"Texas A&M University-Kingsville","Lone Star Conference","II"
"Texas A&M University, College Station","Southeastern Conference","I-FBS"
"Texas Christian University","Big 12 Conference","I-FBS"
"Texas Lutheran University","Southern Collegiate Athletic Conference","III"
"Texas Southern University","Southwestern Athletic Conf.","I-FCS"
"Texas State University","Sun Belt Conference","I-FBS"
"Texas Tech University","Big 12 Conference","I-FBS"
"Texas Woman's University","Lone Star Conference","II"
"The Citadel","Southern Conference","I-FCS"
"The City College of New York","City University of New York Athletic Conference","III"
"The College of New Jersey","New Jersey Athletic Conference","III"
"The College of Saint Rose","Northeast-10 Conference","II"
"The College of St. Scholastica","Upper Midwest Athletic Conference","III"
"The College of Wooster","North Coast Athletic Conference","III"
"The Lincoln University (Pennsylvania)","Central Intercollegiate Athletic Association","II"
"The Ohio State University","Big Ten Conference","I-FBS"
"The Sage Colleges","Skyline Conference","III"
"The State University of New York at Fredonia","State University of New York Athletic Conference","III"
"The University of North Carolina at Charlotte","Conference USA","I-FBS"
"The University of North Carolina at Greensboro","Southern Conference","I"
"The University of Southern Mississippi","Conference USA","I-FBS"
"The University of Texas at Tyler","American Southwest Conference","III"
"The University of Texas Rio Grande Valley","Western Athletic Conference","I"
"The University of Tulsa","American Athletic Conference","I-FBS"
"The University of Virginia's College at Wise","Mountain East Conference","II"
"Thiel College","Presidents' Athletic Conference","III"
"Thomas College","North Atlantic Conference","III"
"Thomas More College","Presidents' Athletic Conference","III"
"Tiffin University","Great Lakes Intercollegiate Athletic Conference","II"
"Towson University","Colonial Athletic Association","I-FCS"
"Transylvania University","Heartland Collegiate Athletic Conference","III"
"Trevecca Nazarene University","Great Midwest Athletic Conference","II"
"Trine University","Michigan Intercol. Ath. Assn.","III"
"Trinity College (Connecticut)","New England Small College Athletic Conference","III"
"Trinity University (Texas)","Southern Collegiate Athletic Conference","III"
"Trinity Washington University","Independent","III"
"Troy University","Sun Belt Conference","I-FBS"
"Truman State University","Great Lakes Valley Conference","II"
"Tufts University","New England Small College Athletic Conference","III"
"Tulane University","American Athletic Conference","I-FBS"
"Tusculum College","South Atlantic Conference","II"
"Tuskegee University","Southern Intercol. Ath. Conf.","II"
"U.S. Air Force Academy","Mountain West Conference","I-FBS"
"U.S. Coast Guard Academy","New England Women's and Men's Athletic Conference","III"
"U.S. Merchant Marine Academy","Skyline Conference","III"
"U.S. Military Academy","Patriot League","I-FBS"
"U.S. Naval Academy","Patriot League","I-FBS"
"Union College (New York)","Liberty League","III"
"Union University","Gulf South Conference","II"
"University at Albany","America East Conference","I-FCS"
"University at Buffalo, the State University of New York","Mid-American Conference","I-FBS"
"University of Akron","Mid-American Conference","I-FBS"
"University of Alabama","Southeastern Conference","I-FBS"
"University of Alabama at Birmingham","Conference USA","I-FBS"
"University of Alabama in Huntsville","Gulf South Conference","II"
"University of Alaska Anchorage","Great Northwest Athletic Conference","II"
"University of Alaska Fairbanks","Great Northwest Athletic Conference","II"
"University of Arizona","Pac-12 Conference","I-FBS"
"University of Arkansas at Little Rock","Sun Belt Conference","I"
"University of Arkansas, Fayetteville","Southeastern Conference","I-FBS"
"University of Arkansas, Fort Smith","Heartland Conference","II"
"University of Arkansas, Monticello","Great American Conference","II"
"University of Arkansas, Pine Bluff","Southwestern Athletic Conf.","I-FCS"
"University of Bridgeport","East Coast Conference","II"
"University of California, Berkeley","Pac-12 Conference","I-FBS"
"University of California, Davis","Big West Conference","I-FCS"
"University of California, Irvine","Big West Conference","I"
"University of California, Los Angeles","Pac-12 Conference","I-FBS"
"University of California, Riverside","Big West Conference","I"
"University of California, San Diego","California Collegiate Athletic Association","II"
"University of California, Santa Barbara","Big West Conference","I"
"University of California, Santa Cruz","Independent","III"
"University of Central Arkansas","Southland Conference","I-FCS"
"University of Central Florida","American Athletic Conference","I-FBS"
"University of Central Missouri","Mid-America Intercollegiate Athletics Association","II"
"University of Central Oklahoma","Mid-America Intercollegiate Athletics Association","II"
"University of Charleston (West Virginia)","Mountain East Conference","II"
"University of Chicago","University Athletic Association","III"
"University of Cincinnati","American Athletic Conference","I-FBS"
"University of Colorado, Boulder","Pac-12 Conference","I-FBS"
"University of Colorado, Colorado Springs","Rocky Mountain Athletic Conference","II"
"University of Connecticut","American Athletic Conference","I-FBS"
"University of Dallas","Southern Collegiate Athletic Conference","III"
"University of Dayton","Atlantic 10 Conference","I-FCS"
"University of Delaware","Colonial Athletic Association","I-FCS"
"University of Denver","The Summit League","I"
"University of Detroit Mercy","Horizon League","I"
"University of Dubuque","Iowa Intercol. Athletic Conf.","III"
"University of Evansville","Missouri Valley Conference","I"
"University of Findlay","Great Lakes Intercollegiate Athletic Conference","II"
"University of Florida","Southeastern Conference","I-FBS"
"University of Georgia","Southeastern Conference","I-FBS"
"University of Hartford","America East Conference","I"
"University of Hawaii at Hilo","Pacific West Conference","II"
"University of Hawaii, Manoa","Big West Conference","I-FBS"
"University of Houston","American Athletic Conference","I-FBS"
"University of Idaho","Big Sky Conference","I-FBS"
"University of Illinois at Chicago","Horizon League","I"
"University of Illinois at Springfield","Great Lakes Valley Conference","II"
"University of Illinois Urbana-Champaign","Big Ten Conference","I-FBS"
"University of Indianapolis","Great Lakes Valley Conference","II"
"University of Iowa","Big Ten Conference","I-FBS"
"University of Kansas","Big 12 Conference","I-FBS"
"University of Kentucky","Southeastern Conference","I-FBS"
"University of La Verne","Southern California Intercollegiate Athletic Conf.","III"
"University of Louisiana at Lafayette","Sun Belt Conference","I-FBS"
"University of Louisiana at Monroe","Sun Belt Conference","I-FBS"
"University of Louisville","Atlantic Coast Conference","I-FBS"
"University of Maine at Presque Isle","Independent","III"
"University of Maine, Farmington","North Atlantic Conference","III"
"University of Maine, Orono","America East Conference","I-FCS"
"University of Mary","Northern Sun Intercollegiate Conference","II"
"University of Mary Hardin-Baylor","American Southwest Conference","III"
"University of Mary Washington","Capital Athletic Conference Inc.","III"
"University of Maryland Eastern Shore","Mid-Eastern Athletic Conf.","I"
"University of Maryland, Baltimore County","America East Conference","I"
"University of Maryland, College Park","Big Ten Conference","I-FBS"
"University of Massachusetts Boston","Little East Conference","III"
"University of Massachusetts Lowell","America East Conference","II"
"University of Massachusetts, Amherst","Atlantic 10 Conference","I-FBS"
"University of Massachusetts, Dartmouth","Little East Conference","III"
"University of Memphis","American Athletic Conference","I-FBS"
"University of Miami (Florida)","Atlantic Coast Conference","I-FBS"
"University of Michigan","Big Ten Conference","I-FBS"
"University of Minnesota Duluth","Northern Sun Intercollegiate Conference","II"
"University of Minnesota, Crookston","Northern Sun Intercollegiate Conference","II"
"University of Minnesota, Morris","Upper Midwest Athletic Conference","III"
"University of Minnesota, Twin Cities","Big Ten Conference","I-FBS"
"University of Mississippi","Southeastern Conference","I-FBS"
"University of Missouri-Kansas City","Western Athletic Conference","I"
"University of Missouri-St. Louis","Great Lakes Valley Conference","II"
"University of Missouri, Columbia","Southeastern Conference","I-FBS"
"University of Montana","Big Sky Conference","I-FCS"
"University of Montevallo","Peach Belt Conference","II"
"University of Mount Olive","Conference Carolinas","II"
"University of Mount Union","Ohio Athletic Conference","III"
"University of Nebraska at Kearney","Mid-America Intercollegiate Athletics Association","II"
"University of Nebraska Omaha","The Summit League","I"
"University of Nebraska, Lincoln","Big Ten Conference","I-FBS"
"University of Nevada, Las Vegas","Mountain West Conference","I-FBS"
"University of Nevada, Reno","Mountain West Conference","I-FBS"
"University of New England","Commonwealth Coast Conference","III"
"University of New Hampshire","America East Conference","I-FCS"
"University of New Haven","Northeast-10 Conference","II"
"University of New Mexico","Mountain West Conference","I-FBS"
"University of New Orleans","Southland Conference","I"
"University of North Alabama","Gulf South Conference","II"
"University of North Carolina Asheville","Big South Conference","I"
"University of North Carolina at Pembroke","Peach Belt Conference","II"
"University of North Carolina Wilmington","Colonial Athletic Association","I"
"University of North Carolina, Chapel Hill","Atlantic Coast Conference","I-FBS"
"University of North Dakota","Big Sky Conference","I-FCS"
"University of North Florida","ASUN Conference","I"
"University of North Georgia","Peach Belt Conference","II"
"University of North Texas","Conference USA","I-FBS"
"University of Northern Colorado","Big Sky Conference","I-FCS"
"University of Northern Iowa","Missouri Valley Conference","I-FCS"
"University of Northwestern-St. Paul","Upper Midwest Athletic Conference","III"
"University of Notre Dame","Atlantic Coast Conference","I-FBS"
"University of Oklahoma","Big 12 Conference","I-FBS"
"University of Oregon","Pac-12 Conference","I-FBS"
"University of Pennsylvania","The Ivy League","I-FCS"
"University of Pittsburgh","Atlantic Coast Conference","I-FBS"
"University of Pittsburgh, Bradford","Allegheny Mountain Collegiate Conference","III"
"University of Pittsburgh, Greensburg","Allegheny Mountain Collegiate Conference","III"
"University of Pittsburgh, Johnstown","Pennsylvania State Athletic Conference","II"
"University of Portland","West Coast Conference","I"
"University of Puerto Rico, Bayamon","Independent","II"
"University of Puerto Rico, Mayaguez","Independent","II"
"University of Puerto Rico, Rio Piedras","Independent","II"
"University of Puget Sound","Northwest Conference","III"
"University of Redlands","Southern California Intercollegiate Athletic Conf.","III"
"University of Rhode Island","Atlantic 10 Conference","I-FCS"
"University of Richmond","Atlantic 10 Conference","I-FCS"
"University of Rochester","University Athletic Association","III"
"University of San Diego","West Coast Conference","I-FCS"
"University of San Francisco","West Coast Conference","I"
"University of Scranton","Landmark Conference","III"
"University of Sioux Falls","Northern Sun Intercollegiate Conference","II"
"University of South Alabama","Sun Belt Conference","I-FBS"
"University of South Carolina Aiken","Peach Belt Conference","II"
"University of South Carolina Upstate","ASUN Conference","I"
"University of South Carolina, Columbia","Southeastern Conference","I-FBS"
"University of South Dakota","The Summit League","I-FCS"
"University of South Florida","American Athletic Conference","I-FBS"
"University of Southern California","Pac-12 Conference","I-FBS"
"University of Southern Indiana","Great Lakes Valley Conference","II"
"University of Southern Maine","Little East Conference","III"
"University of St. Joseph (Connecticut)","Great Northeast Athletic Conference","III"
"University of St. Thomas (Minnesota)","Minnesota Intercollegiate Athletic Conference","III"
"University of Tampa","Sunshine State Conference","II"
"University of Tennessee at Chattanooga","Southern Conference","I-FCS"
"University of Tennessee at Martin","Ohio Valley Conference","I-FCS"
"University of Tennessee, Knoxville","Southeastern Conference","I-FBS"
"University of Texas at Arlington","Sun Belt Conference","I"
"University of Texas at Austin","Big 12 Conference","I-FBS"
"University of Texas at Dallas","American Southwest Conference","III"
"University of Texas at El Paso","Conference USA","I-FBS"
"University of Texas at San Antonio","Conference USA","I-FBS"
"University of Texas of the Permian Basin","Lone Star Conference","II"
"University of the District of Columbia","East Coast Conference","II"
"University of the Incarnate Word","Southland Conference","II"
"University of the Ozarks (Arkansas)","American Southwest Conference","III"
"University of the Pacific","West Coast Conference","I"
"University of the Sciences","Central Atlantic Collegiate Conference","II"
"University of the South","Southern Athletic Association","III"
"University of Toledo","Mid-American Conference","I-FBS"
"University of Utah","Pac-12 Conference","I-FBS"
"University of Valley Forge","Independent","III"
"University of Vermont","America East Conference","I"
"University of Virginia","Atlantic Coast Conference","I-FBS"
"University of Washington","Pac-12 Conference","I-FBS"
"University of West Alabama","Gulf South Conference","II"
"University of West Florida","Gulf South Conference","II"
"University of West Georgia","Gulf South Conference","II"
"University of Wisconsin-Eau Claire","Wisconsin Intercollegiate Athletic Conference","III"
"University of Wisconsin-Green Bay","Horizon League","I"
"University of Wisconsin-La Crosse","Wisconsin Intercollegiate Athletic Conference","III"
"University of Wisconsin-Madison","Big Ten Conference","I-FBS"
"University of Wisconsin-Milwaukee","Horizon League","I"
"University of Wisconsin-Oshkosh","Wisconsin Intercollegiate Athletic Conference","III"
"University of Wisconsin-Parkside","Great Lakes Valley Conference","II"
"University of Wisconsin-Platteville","Wisconsin Intercollegiate Athletic Conference","III"
"University of Wisconsin-River Falls","Wisconsin Intercollegiate Athletic Conference","III"
"University of Wisconsin-Stevens Point","Wisconsin Intercollegiate Athletic Conference","III"
"University of Wisconsin-Stout","Wisconsin Intercollegiate Athletic Conference","III"
"University of Wisconsin-Superior","Upper Midwest Athletic Conference","III"
"University of Wisconsin-Whitewater","Wisconsin Intercollegiate Athletic Conference","III"
"University of Wyoming","Mountain West Conference","I-FBS"
"Upper Iowa University","Northern Sun Intercollegiate Conference","II"
"Urbana University","Mountain East Conference","II"
"Ursinus College","Centennial Conference","III"
"Ursuline College","Great Midwest Athletic Conference","II"
"Utah State University","Mountain West Conference","I-FBS"
"Utah Valley University","Western Athletic Conference","I"
"Utica College","Empire 8","III"
"Valdosta State University","Gulf South Conference","II"
"Valparaiso University","Horizon League","I-FCS"
"Vanderbilt University","Southeastern Conference","I-FBS"
"Vassar College","Liberty League","III"
"Villanova University","Big East Conference","I-FCS"
"Virginia Commonwealth University","Atlantic 10 Conference","I"
"Virginia Military Institute","Southern Conference","I-FCS"
"Virginia Polytechnic Institute and State University","Atlantic Coast Conference","I-FBS"
"Virginia State University","Central Intercollegiate Athletic Association","II"
"Virginia Union University","Central Intercollegiate Athletic Association","II"
"Virginia Wesleyan College","Old Dominion Athletic Conf.","III"
"Wabash College","North Coast Athletic Conference","III"
"Wagner College","Northeast Conference","I-FCS"
"Wake Forest University","Atlantic Coast Conference","I-FBS"
"Walsh University","Great Lakes Intercollegiate Athletic Conference","II"
"Wartburg College","Iowa Intercol. Athletic Conf.","III"
"Washburn University of Topeka","Mid-America Intercollegiate Athletics Association","II"
"Washington and Jefferson College","Presidents' Athletic Conference","III"
"Washington and Lee University","Old Dominion Athletic Conf.","III"
"Washington College (Maryland)","Centennial Conference","III"
"Washington State University","Pac-12 Conference","I-FBS"
"Washington University in St. Louis","University Athletic Association","III"
"Wayne State College (Nebraska)","Northern Sun Intercollegiate Conference","II"
"Wayne State University (Michigan)","Great Lakes Intercollegiate Athletic Conference","II"
"Waynesburg University","Presidents' Athletic Conference","III"
"Weber State University","Big Sky Conference","I-FCS"
"Webster University","St. Louis Intercollegiate Athletic Conference","III"
"Wellesley College","New England Women's and Men's Athletic Conference","III"
"Wells College","North Eastern Athletic Conference","III"
"Wentworth Institute of Technology","Commonwealth Coast Conference","III"
"Wesley College","Capital Athletic Conference Inc.","III"
"Wesleyan University (Connecticut)","New England Small College Athletic Conference","III"
"West Chester University of Pennsylvania","Pennsylvania State Athletic Conference","II"
"West Liberty University","Mountain East Conference","II"
"West Texas A&M University","Lone Star Conference","II"
"West Virginia State University","Mountain East Conference","II"
"West Virginia University","Big 12 Conference","I-FBS"
"West Virginia Wesleyan College","Mountain East Conference","II"
"Western Carolina University","Southern Conference","I-FCS"
"Western Connecticut State University","Little East Conference","III"
"Western Illinois University","The Summit League","I-FCS"
"Western Kentucky University","Conference USA","I-FBS"
"Western Michigan University","Mid-American Conference","I-FBS"
"Western New England University","Commonwealth Coast Conference","III"
"Western New Mexico University","Lone Star Conference","II"
"Western Oregon University","Great Northwest Athletic Conference","II"
"Western State Colorado University","Rocky Mountain Athletic Conference","II"
"Western Washington University","Great Northwest Athletic Conference","II"
"Westfield State University","Massachusetts State Collegiate Athletic Conference","III"
"Westminster College (Missouri)","St. Louis Intercollegiate Athletic Conference","III"
"Westminster College (Pennsylvania)","Presidents' Athletic Conference","III"
"Westminster College (Utah)","Rocky Mountain Athletic Conference","II"
