"School","Conference","Division"
"Canisius College","Metro Atlantic Athletic Conference","I"
"Capital University","Ohio Athletic Conference","III"
"Carleton College","Minnesota Intercollegiate Athletic Conference","III"
"Carnegie Mellon University","University Athletic Association","III"
"Carroll University (Wisconsin)","College Conference of Illinois & Wisconsin","III"
"Carson-Newman University","South Atlantic Conference","II"
"Carthage College","College Conference of Illinois & Wisconsin","III"
"Case Western Reserve University","University Athletic Association","III"
"Castleton University","North Atlantic Conference","III"
"Catawba College","South Atlantic Conference","II"
"Catholic University","Landmark Conference","III"
"Cazenovia College","North Eastern Athletic Conference","III"
"Cedar Crest College","Colonial States Athletic Conference","III"
"Cedarville University","Great Midwest Athletic Conference","II"
"Centenary College (Louisiana)","Southern Collegiate Athletic Conference","III"
"Centenary University (New Jersey)","Colonial States Athletic Conference","III"
"Central College (Iowa)","Iowa Intercol. Athletic Conf.","III"
"Central Connecticut State University","Northeast Conference","I-FCS"
"Central Michigan University","Mid-American Conference","I-FBS"
"Central State University","Southern Intercol. Ath. Conf.","II"
"Central Washington University","Great Northwest Athletic Conference","II"
"Centre College","Southern Athletic Association","III"
"Chadron State College","Rocky Mountain Athletic Conference","II"
"Chaminade University","Pacific West Conference","II"
"Chapman University","Southern California Intercollegiate Athletic Conf.","III"
"Charleston Southern University","Big South Conference","I-FCS"
"Chatham University","Presidents' Athletic Conference","III"
"Chestnut Hill College","Central Atlantic Collegiate Conference","II"
"Cheyney University of Pennsylvania","Pennsylvania State Athletic Conference","II"
"Chicago State University","Western Athletic Conference","I"
"Chowan University","Central Intercollegiate Athletic Association","II"
"Christian Brothers University","Gulf South Conference","II"
"Christopher Newport University","Capital Athletic Conference Inc.","III"
"Claflin University","Southern Intercol. Ath. Conf.","II"
"Claremont McKenna-Harvey Mudd-Scripps Colleges","Southern California Intercollegiate Athletic Conf.","III"
"Clarion University of Pennsylvania","Pennsylvania State Athletic Conference","II"
"Clark Atlanta University","Southern Intercol. Ath. Conf.","II"
"Clark University (Massachusetts)","New England Women's and Men's Athletic Conference","III"
"Clarks Summit University","Colonial States Athletic Conference","III"
"Clarkson University","Liberty League","III"
"Clayton State University","Peach Belt Conference","II"
"Clemson University","Atlantic Coast Conference","I-FBS"
"Cleveland State University","Horizon League","I"
"Coastal Carolina University","Sun Belt Conference","I-FCS"
"Coe College","Iowa Intercol. Athletic Conf.","III"
"Coker College","South Atlantic Conference","II"
"Colby College","New England Small College Athletic Conference","III"
"Colby-Sawyer College","North Atlantic Conference","III"
"Colgate University","Patriot League","I-FCS"
"College at Brockport, State University of New York","State University of New York Athletic Conference","III"
"College of Charleston (South Carolina)","Colonial Athletic Association","I"
"College of Mount St. Vincent","Skyline Conference","III"
"College of New Rochelle","Independent","III"
"College of Saint Benedict","Minnesota Intercollegiate Athletic Conference","III"
"College of Saint Elizabeth","North Eastern Athletic Conference","III"
"College of Staten Island","City University of New York Athletic Conference","III"
"College of the Holy Cross","Patriot League","I-FCS"
"College of William and Mary","Colonial Athletic Association","I-FCS"
"Colorado Christian University","Rocky Mountain Athletic Conference","II"
"Colorado College","Southern Collegiate Athletic Conference","III"
"Colorado Mesa University","Rocky Mountain Athletic Conference","II"
"Colorado School of Mines","Rocky Mountain Athletic Conference","II"
"Colorado State University","Mountain West Conference","I-FBS"
"Colorado State University-Pueblo","Rocky Mountain Athletic Conference","II"
"Columbia University-Barnard College","The Ivy League","I-FCS"
"Columbus State University","Peach Belt Conference","II"
"Concord University","Mountain East Conference","II"
"Concordia College (New York)","Central Atlantic Collegiate Conference","II"
"Concordia College, Moorhead","Minnesota Intercollegiate Athletic Conference","III"
"Concordia University Chicago","Northern Athletics Collegiate Conference","III"
"Concordia University Irvine","Pacific West Conference","II"
"Concordia University Portland","Great Northwest Athletic Conference","II"
"Concordia University Texas","American Southwest Conference","III"
"Concordia University Wisconsin","Northern Athletics Collegiate Conference","III"
"Concordia University, St. Paul","Northern Sun Intercollegiate Conference","II"
"Connecticut College","New England Small College Athletic Conference","III"
"Converse College","Conference Carolinas","II"
"Coppin State University","Mid-Eastern Athletic Conf.","I"
"Cornell College","Midwest Conference","III"
"Cornell University","The Ivy League","I-FCS"
"Covenant College","USA South Athletic Conference","III"
"Creighton University","Big East Conference","I"
"Crown College (Minnesota)","Upper Midwest Athletic Conference","III"
"Curry College","Commonwealth Coast Conference","III"
"D'Youville College","Allegheny Mountain Collegiate Conference","III"
"Daemen College","East Coast Conference","II"
"Dallas Baptist University","Heartland Conference","II"
"Daniel Webster College","New England Collegiate Conference","III"
"Dartmouth College","The Ivy League","I-FCS"
"Davenport University","Great Lakes Intercollegiate Athletic Conference","II"
"Davidson College","Atlantic 10 Conference","I-FCS"
"Davis & Elkins College","Great Midwest Athletic Conference","II"
"Defiance College","Heartland Collegiate Athletic Conference","III"
"Delaware State University","Mid-Eastern Athletic Conf.","I-FCS"
"Delaware Valley University","Middle Atlantic Conferences","III"
"Delta State University","Gulf South Conference","II"
"Denison University","North Coast Athletic Conference","III"
"DePaul University","Big East Conference","I"
"DePauw University","North Coast Athletic Conference","III"
"DeSales University","Middle Atlantic Conferences","III"
"Dickinson College","Centennial Conference","III"
"Dixie State University","Pacific West Conference","II"
"Dominican College (New York)","Central Atlantic Collegiate Conference","II"
"Dominican University (Illinois)","Northern Athletics Collegiate Conference","III"
"Dominican University of California","Pacific West Conference","II"
"Drake University","Missouri Valley Conference","I-FCS"
"Drew University","Landmark Conference","III"
"Drexel University","Colonial Athletic Association","I"
"Drury University","Great Lakes Valley Conference","II"
"Duke University","Atlantic Coast Conference","I-FBS"
"Duquesne University","Atlantic 10 Conference","I-FCS"
"Earlham College","Heartland Collegiate Athletic Conference","III"
"East Carolina University","American Athletic Conference","I-FBS"
"East Central University","Great American Conference","II"
