"School"
"Georgia Institute of Technology"
"Boston University"
"Indiana University"
"Brandeis University"
"Iowa State University"
"Brown University"
"Michigan State University"
"California Institute of Technology"
"The Ohio State University"
"Carnegie Mellon University"
"The Pennsylvania State University"
"Case Western Reserve University"
"Purdue University"
"Columbia University"
"Rutgers University - New Brunswick"
"Cornell University"
"Stony Brook University - The State University of New York"
"Duke University"
"Texas A&M University"
"Emory University"
"University at Buffalo - The State University of New York"
"Harvard University"
"The University of Arizona"
"The Johns Hopkins University"
"University of California, Davis"
"Massachusetts Institute of Technology"
"University of California, Berkeley"
"New York University"
"University of California, Irvine"
"Northwestern University"
"University of California, Los Angeles"
"Princeton University"
"University of California, San Diego"
"Rice University"
"University of California, Santa Barbara"
"Stanford University"
"University of Colorado, Boulder"
"Tulane University"
"University of Florida"
"The University of Chicago"
"University of Illinois at Urbana-Champaign"
"University of Pennsylvania"
"The University of Iowa"
"University of Rochester"
"The University of Kansas"
"University of Southern California"
"University of Maryland at College Park"
"Vanderbilt University"
"University of Michigan"
"Washington University in St. Louis"
"University of Minnesota, Twin Cities"
"Yale University"
"University of Missouri, Columbia"
"The University of North Carolina at Chapel Hill"
"University of Oregon"
"McGill University"
"University of Pittsburgh"
"University of Toronto"
"The University of Texas at Austin"
"University of Virginia"
"University of Washington"
"The University of Wisconsin-Madison"
